entity,pillar,title,url,source,date,demographics,iw_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Tanzania,Technology & Innovation in Education,Korea Eximbank Deepens Africa Ties,https://www.businesskorea.co.kr/news/articleView.html?idxno=276957,Businesskorea,11 Sep 2026,,no,The Export-Import Bank of Korea will establish a strategic project identification system centered on the six major national strategic industries of Uzbekistan.,"The Export-Import Bank of Korea announced on Sep. 15 that it signed a ‘Memorandum of Understanding (MOU) for the Establishment of a Strategic Project Identification System’ with the Ministry of Investment, Industry and Trade of Uzbekistan. This agreement was carried out in the presence of President Lee Jae-myung and Uzbekistan President Shavkat Mirziyoyev during the Korea-Uzbekistan Summit, which was held on the occasion of the first Korea-Central Asia Summit. Export-Import Bank of Korea President Hwang Ki-yeon and Minister of Investment, Industry and Trade of Uzbekistan Laziz Kudratov stepped forward as the signatories.","The areas of cooperation encompass the entirety of the six major national strategic industries promoted by Uzbekistan. Specifically, they include 1) critical minerals, 2) artificial intelligence (AI) and digital, 3) advanced infrastructure, 4) the creation of specialized industrial complexes exclusively for Korean companies, and 5) pharmaceuticals and biotechnology. The Export-Import Bank of Korea plans to preemptively identify promising projects that are mutually beneficial to both countries and specify the financial support measures necessary for project implementation.",yes,no,4,6
Tanzania,"Teachers, Schools & Continuity",Rest well Mzee Ameir,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9Sa2J6RVNFSUtXcVp3V0k5bEg2TlROUE5XZTdJSzFIRFVPWXNESmc1Q04yMF9saGNQQ3NLNk94SE9LMVR0NHBhOXZIempid3JMY3dCM0NXZjE?oc=5,dailynews.co.tz,8 Sep 2026,,no,,,,no,yes,1,7
Tanzania,Government & Program Context,Leap for primary healthcare,https://dailynews.co.tz/leap-for-primary-healthcare/,dailynews.co.tz,11 Sep 2026,,no,,,,no,no,0,8
Tanzania,Government & Program Context,Tanzania moves to eradicate the root causes of NTDs,https://dailynews.co.tz/tanzania-moves-to-eradicate-the-root-causes-of-ntds/,dailynews.co.tz,14 Sep 2026,,no,,,,no,no,2,6
Tanzania,Government & Program Context,El Niño rains: Govt orders cities to clear drains before October,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQYnZTNW9jSDh2NE5JaGRONkc2Ukc3WGNiSVloSlB4cGhuVDIxdTJac3RYMHp4LWZsdi1XVVR1ZXlkaEJNelgyRkd4cjFPOFFjRXJOUEVvM0FsQ3k3X010OWRnWTlkcUtqUFFIWFJvRWUydkFfS29LSzFTSmFJRmwxV3ZUUWllMVl1?oc=5,therespondents.co.tz,11 Sep 2026,,no,,,,no,yes,4,4
Tanzania,Government & Program Context,Tanzania Councils Face Austerity Test as 2028 Classroom Bill Lands,https://streamlinefeed.co.ke/news/tanzania-councils-face-austerity-test-as-2028-classroom-bill-lands,streamlinefeed.co.ke,8 Sep 2026,,no,,,,no,no,5,3
Burkina Faso,"Policy, Budget & Funding",UNICEF appeals for US$9.9 billion in humanitarian funding to support children affected by conflict and crisis in increasingly volatile world,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNeWFCdzFSbjNKM1RKNzBCWGpXU0xBbHNWMGVHcmFZU053QzBMV1ZBTVg5WnFvT092bERNTi1yanRJMTJURWZSdUhtNUpITVNtcXg2NTFsQ2dHaHltdmhLVl9kd3ZTeXJQejVuLUhqckRKUVM2ZVQ5bXlRZ1VpVm5JUHV6cGx4THBHTF8xTW1wNHpocEZWNElRR2JjRlZFcmdSbDNlbUxiN2sySDJBU2pUN2xxRnRXRWdsYVlic2FuelNTc00?oc=5,Unicef,5 Dec 2024,,no,,,,no,yes,0,8
Burkina Faso,"Policy, Budget & Funding",Somalia Girls Education,https://news.google.com/rss/articles/CBMitAFBVV95cUxOeUd1Um9RMmIwdTZWcTVrbkR3cjU1WHpKUlI4VkhyeVZKTk9VU3A2T3ZkRVNzWklPOW5ITjZ4V21fcUFpY3JXd2ZKaFUwLUVtc1RRTkx5UFgxcE5DdHFSQ0RUYzlpa2o2dGZ1REJfbjZoVm5XeFp3ZVQxbWN6ejZTby00WVhlYm5HQ2NwZTN3Q0toSW1vNldfODlUTmlEQWg1Rk03UUNEZnVRazh5VlA1dzE3eGI?oc=5,chronicleonline.com,9 Sep 2026,,no,,,,no,yes,0,8
Burkina Faso,"Policy, Budget & Funding",African Governments Must Commit to Get Children Back to School!,https://www.savethechildren.net/what-we-do/emergencies/ebola-outbreak,Save the Children,15 Jun 2021,,no,"Health authorities have reported over 5,000 confirmed Ebola cases and over 2,000 deaths. The numbers are rapidly increasing and the true number is likely to be even higher than those officially recorded given ongoing challenges with tracing and testing. It is now the largest Ebola outbreak ever reported in DRC , and the second largest globally.",The World Health Organisation has warned that this outbreak is on track to be the deadliest on record if it continues at its current pace.,"This outbreak is spreading through communities in the DRC where families are already facing conflict and displacement and healthcare is severely limited , making it harder to trace contacts and contain transmission.",yes,no,1,9
Burkina Faso,Technology & Innovation in Education,Mid-September Update #2: 66 New Impact Funding Opportunities!,https://news.google.com/rss/articles/CBMifkFVX3lxTE5ob3ZtVFVIcXNNTDBYN3U0ZzZFQW5VcUlERVA2VXN0WFRzd1BPLTkwd1BTMTVKMl9pYTFuMzBFMUxMNlpLWVFqVldzcVFsc3ZJMXZZT25XamhvTnR4UndyY3VyQzRVSm12MmYyU0Y4VmxDMHB5R2hpU202TW9fZw?oc=5,impactfunding.substack.com,14 Sep 2026,,no,,,,no,yes,0,8
Burkina Faso,Technology & Innovation in Education,SUNY implements new AI literacy requirement for incoming students,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNMEVZbDNRaFZtb2xMMWZJd2dVMXEycmRPV3JnVWNoekV4akpSanZxd2lWLXFRdTNoelNvZlpkX3ZjWTRCbFY4NW5lLXBvRl9OU1ZEZHdTQmY1UXN6Y3hYYTFwNHhob0J4LUc3LVlRRjFTUUoxRWhGMXBJNHJQUW1mOWFwbVRrcjVmVVpjM2tSbEdvRWszT2dnblRsdmh0b3dzNnZOTHRfaDhkQ1NwazRvSm0yeXNGZk02TTMzalhmUXNCcUloek1zMG9qYVhsdW92NjFpLWxaRmUxdzZSQmpPUnF6VjU3dEhrZEtkdTNoVTduMUh2cFBCWEp6blZPNGc?oc=5,Bee Group Newspapers,14 Sep 2026,,no,,,,no,yes,1,7
Burkina Faso,Technology & Innovation in Education,A digital shield for youth against health misinformation,https://news.google.com/rss/articles/CBMikwFBVV95cUxQcTduVlY5VkFWQlMzam1CaF9RMVlWVTRsZENrdUNNUDRxWnF4OVo5MndGS3pvQWV1R0VtcXU4cGh3Q2NVOG1nMG5FX0N6MkRMNmVwdzJzakhnYjlaT1dXeWtUaUdxMFd2a1pCaVZGNDMtTEdFS1p1RFJkUVpxcGkwSzVxeFRfT2I1OFM4Y25LQnI1R2c?oc=5,Unicef,11 Sep 2026,Youth,no,,,,no,yes,2,6
Burkina Faso,Technology & Innovation in Education,Senators from both parties question OpenAI on breach of AI startup Hugging Face,https://news.google.com/rss/articles/CBMiggJBVV95cUxPWmttcEx0RExHWTNyX3lzMVdXYXltZWV5dnJPbFBSOEdsdFE1aC1qc3dCbWdVVGxEVnJKNktzTUhZaDNhcUd6YkpSaHU5cWlpZnNod0tCTFpQQ2twOFJlX2JTZ2ltVGR1ZUYzZ1N2SW9hZ1hGdDNYZU9VN3I2LXBJNUI2eUFjYWdGaGJ5NklQclFfN050b1ZDc2lOSHpGRVJLVVZFc1NyamdESTBBdkxSdjRUajhfMUJlYVpNekVkZFg3OWJRTk94Ti1Md0sxQ0VaLUxEQVdZbnBLcmo4VWRjRllsc2UteWg0VGR1eGZZQ3d4V3VGak5EaURmXzZzeWtDTHc?oc=5,News-Press NOW,11 Sep 2026,,no,,,,no,yes,3,5
Burkina Faso,Technology & Innovation in Education,Roger Spitz Ranked #6 on Thinkers360’s 2026 Management Leaderboard as Foresight Enters Management Practice,https://www.einpresswire.com/article/942036123/roger-spitz-ranked-6-on-thinkers360-s-2026-management-leaderboard-as-foresight-enters-management-practice,EIN Presswire,14 Sep 2026,,no,"Spitz’s Thinkers360 Recognition, Platform Rankings and Publications Place Strategic Foresight in Management & Leadership Practices","SAN FRANCISCO, CA, UNITED STATES, September 13, 2026 / EINPresswire.com / -- “Boards stopped treating foresight as a specialist function the moment their planning assumptions started expiring before they were even finalized,” said Roger Spitz .","Roger Spitz, the futurist and keynote speaker who chairs the Disruptive Futures Institute and is President of Techistential, has been ranked #6 in Thinkers360’s Top 50 Global Thought Leaders on Management 2026, published on 6 September 2026 with a normalized score of 76.27. Thinkers360 builds its annual leaderboards from members’ personally authored body of work and curated professional experience - books, articles, keynotes, media, awards and credentials - rather than from social media following alone.",yes,no,4,6
Burkina Faso,"Teachers, Schools & Continuity",Caught Between Conflict and Funding Cuts: Education Under Threat in West and Central Africa,https://news.google.com/rss/articles/CBMivwFBVV95cUxNeUlOLWwxSTVmTlFSZ3NXWDdYUmxxLVpOT3NLcDZOdGpGcUhzOTVULVVGLVlScnBWYTV3VEZ1Rm0zakhIS2FfQUZlZmFkMy1ZR3lBbnl2eUZEbktDUDVKdVAxdy1xZUVRUUxiTERNb2xQY1F4SDBCYXFxZ3pzU2VFTVh6WVVYWjNXTEdhX2k2NHBnd2tIdXlzelZTU1BodGdXcGl6UGJ0anN2RGxjblUxUDN0VlRaODE2WWpVSm5ETQ?oc=5,ReliefWeb,9 Sep 2026,,no,,,,no,yes,0,8
